Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Lactobacillus amylovorus,TreatmentGroupGrp1...TreatmentGroupGrp2,0.510949301263546,0.473234665054245,0.548663937472847,10.2287559692385,1.3574432962704,0.176073932557081,0.437472970790424,-7.84095703657692
Lactobacillus reuteri,TreatmentGroupGrp1...TreatmentGroupGrp2,0.307277597325021,0.206435661991987,0.408119532658054,9.48172886541235,1.06303149413416,0.288968893176468,0.570245244952133,-8.19637332704068
unidentified plasmid,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0244254280925027,-0.283578424806002,0.234727568620997,9.10435616119336,-0.185781969699326,0.852792180316994,0.947994195448189,-8.74507202237504
Oscillibacter sp. PEA192,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0591813687587379,-0.46535916732106,0.583721904838536,8.7866261880312,0.651279383433153,0.515566734068162,0.75931333203637,-8.54959132071948
Clostridioides difficile,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0102444532300154,-0.288305967665323,0.267817061205292,8.7531746073014,-0.111727964143678,0.911144104795205,0.973654525225629,-8.75613565931003
Bacteroides uniformis,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0335819695537225,-0.387317829345864,0.454481768453309,8.57490928360903,0.257177493801754,0.797289510739565,0.92084591061315,-8.7291928351967
Clostridiales bacterium CCNA10,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0197716421817535,0.00465192831823505,0.034891356045272,8.33341130244779,0.177022979860015,0.859658207141422,0.951606525619219,-8.74666773959515
Flavonifractor plautii,TreatmentGroupGrp1...TreatmentGroupGrp2,0.050260330224706,-0.387972073929996,0.488492734379408,8.18340950295992,0.43175023686753,0.666358757579299,0.847342473503791,-8.66882732075966
[Eubacterium] hallii,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0248735536518172,-0.947157080313162,0.996904187616797,8.13072334384301,0.102353929423891,0.918571845712694,0.976767990008743,-8.75714346973064
Collinsella aerofaciens,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.302747527196476,-0.421188127817963,-0.184306926574989,8.07019059278251,-1.06949858059718,0.286053061373658,0.568516815600841,-8.18948376246906
Bacteroides fragilis,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.126094641197751,-0.249237124108923,-0.00295215828657928,7.97635923895646,-0.531343804593305,0.595733072770785,0.81022405901155,-8.62070805653105
Roseburia hominis,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0442308803711873,-0.0682621034971768,-0.0201996572451978,7.93971050496642,-0.333036536863648,0.739433601319868,0.890613120530595,-8.70671613933665
Lactobacillus johnsonii,TreatmentGroupGrp1...TreatmentGroupGrp2,0.51150437662191,0.36604756386119,0.65696118938263,7.88265862049709,1.37672495919838,0.170039665847808,0.429790193420174,-7.81471012938663
Lachnospiraceae bacterium GAM79,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0857083532570133,-0.419880160724086,0.591296867238113,7.79020306982813,0.6027511132014,0.547314147831796,0.777528348901061,-8.5800982166638
Megasphaera elsdenii,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0647211713462861,-0.221900835255077,0.0924584925625044,7.68582553688113,-0.140551525035769,0.888356797213293,0.96189315449003,-8.75248398123362
Homo sapiens,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.13272654688611,-0.227920355701977,-0.0375327380702425,7.65094080899937,-1.1055666710065,0.270158735408315,0.550655036930351,-8.15030145318234
Streptococcus suis,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.344893600109354,-0.4625737845737,-0.227213415645008,7.56140479831728,-1.60775738322811,0.109366542072226,0.328714272218102,-7.47201918784552
Roseburia intestinalis,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0637197764982531,-0.459030645779247,0.331591092782741,7.50245819313445,-0.490482807623028,0.62429613715536,0.824499319377402,-8.64165159692794
Methanobrevibacter smithii,TreatmentGroupGrp1...TreatmentGroupGrp2,0.183279539259321,0.0802930151288664,0.286266063389776,7.48629995506885,0.478431294576331,0.632832957453178,0.829994525040558,-8.64750953922437
Treponema succinifaciens,TreatmentGroupGrp1...TreatmentGroupGrp2,0.26848315391312,0.171892356568601,0.36507395125764,7.47719368061724,0.813545231696572,0.416812140445056,0.68695068764182,-8.43052065907647
Oscillibacter valericigenes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0693573846618731,-0.444774415311904,0.583489184635651,7.35417496520413,0.869789111498963,0.385392755837509,0.662305918797893,-8.38312916526691
[Clostridium] scindens,TreatmentGroupGrp1...TreatmentGroupGrp2,0.132951909891231,-0.208903093699681,0.474806913482143,7.34233030451206,0.378113503404943,0.705722052567549,0.871654486489603,-8.69062623888359
Prevotella ruminicola,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0874526504877657,-0.0101183600380745,0.185023661013606,7.23424091346743,0.469976678271465,0.638851503056735,0.833547120839671,-8.65153232917722
Prevotella dentalis,TreatmentGroupGrp1...TreatmentGroupGrp2,0.122020496840935,0.00192362522221853,0.242117368459651,7.20150777254905,0.791986523094851,0.429247848515926,0.696955546000661,-8.44785181503198
Clostridium perfringens,TreatmentGroupGrp1...TreatmentGroupGrp2,0.446891149064072,0.357967766791744,0.5358145313364,7.06122082720767,1.65762939458847,0.0988613078430326,0.305710170178184,-7.39124096042281
Prevotella intermedia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0709931809513735,0.000274617103567465,0.14171174479918,7.02307897241828,0.484252549191378,0.628703163821031,0.82758920249115,-8.6446981259653
[Eubacterium] rectale,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0707739944978583,-0.448188152075402,0.589736141071119,6.9694237670676,0.354578106803176,0.723255757712913,0.882429482336426,-8.69928119979776
Lachnoclostridium sp. YL32,TreatmentGroupGrp1...TreatmentGroupGrp2,0.047005470703839,-0.466241344479868,0.560252285887546,6.9279907267774,0.184983567021799,0.853417578109142,0.9481400145072,-8.74522066628397
Streptococcus gallolyticus,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.16663882995582,-0.277272299170032,-0.0560053607416082,6.82423236042878,-0.412618595529425,0.680300234983424,0.856634740685324,-8.67693352132937
[Ruminococcus] gnavus,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0714429943590593,-0.509701242964347,0.652587231682465,6.72395547406706,0.422279280271914,0.673246238289927,0.852310149232947,-8.67288606277235
